variant,month,calendar_days,trade_days,stock_trades,wins,losses,win_rate_pct,compound_pct,mdd_pct,mean_trade_pct,worst_day_pct,weeks,eligible_weeks,weeks_ge2,weeks_lt2,weeks_ge2_pct,average_trade_days_per_week,minimum_trade_days_per_eligible_week,fallback_days,primary_days,fallback_share_pct,ambiguous_positions,missing_pair_rejections,complete,missing_result_days
balanced,2025-04,22,17,17,8,9,47.05882352941177,9.846561249104479,-9.007326042963115,0.6177621867409943,-4.133333333333333,5,5,5,0,100.0,3.4,3,4,13,23.529411764705884,0,0,True,0
balanced,2025-05,19,16,16,10,6,62.5,7.199419907870741,-5.418777608781744,0.45467684114255835,-4.873484069886946,5,4,4,0,100.0,3.2,3,1,15,6.25,0,0,True,0
balanced,2025-06,19,16,16,11,5,68.75,39.41998857375337,-3.2414108412853304,2.1302809176580055,-3.2414108412853406,5,4,4,0,100.0,3.2,2,3,13,18.75,0,0,True,0
balanced,2025-07,23,20,20,7,13,35.0,-5.844995393572483,-6.133096682599504,-0.295280088991551,-2.3408163265306143,5,5,5,0,100.0,4.0,2,0,20,0.0,0,0,True,0
balanced,2025-08,20,17,17,5,12,29.41176470588235,-10.197420317015693,-10.197420317015693,-0.6217638062395506,-2.576176024279208,5,4,4,0,100.0,3.4,3,4,13,23.529411764705884,0,0,True,0
balanced,2025-09,22,20,20,11,9,55.0,9.356736020844902,-3.9985400663551385,0.46059686870995903,-1.5775842044134731,5,5,5,0,100.0,4.0,2,2,18,10.0,0,0,True,0
balanced,2025-10,18,17,17,9,8,52.94117647058823,2.342746603819146,-9.082127500150305,0.1770470763817901,-8.194736842105266,5,4,4,0,100.0,3.4,2,1,16,5.882352941176471,0,0,True,0
balanced,2025-11,20,15,15,10,5,66.66666666666667,-0.0706438763777073,-2.4132075471698156,0.0036261409962396423,-2.4132075471698156,4,4,4,0,100.0,3.75,3,4,11,26.666666666666668,0,0,True,0
balanced,2025-12,21,18,18,9,9,50.0,-3.823864104866481,-12.895145822602815,-0.17117941500479228,-9.65897435897436,5,5,5,0,100.0,3.6,2,3,15,16.666666666666668,0,0,True,0
balanced,2026-01,21,16,16,9,7,56.25,13.35054786284633,-7.93533052575941,0.8166425678425497,-3.367484662576692,5,4,4,0,100.0,3.2,2,3,13,18.75,0,0,True,0
balanced,2026-02,17,12,12,6,6,50.0,-2.753823978706904,-5.50103024514732,-0.2118042962979957,-3.969724770642202,4,4,4,0,100.0,3.0,2,3,9,25.0,0,0,True,0
balanced,2026-03,21,16,16,12,4,75.0,16.392514837097693,-10.91445663295303,1.0278517002132903,-6.256112852664574,5,5,5,0,100.0,3.2,2,6,10,37.5,0,0,True,0
balanced,2026-04,22,14,14,8,6,57.142857142857146,-6.371898920505714,-23.95747077265038,-0.25482720051583757,-19.51225382932167,5,5,4,1,80.0,2.8,1,6,8,42.857142857142854,0,0,True,0
open_comparator,2024-01,22,16,16,6,10,37.5,3.666380172640138,-8.123518462893797,0.2572786356472125,-2.370393374741197,5,5,5,0,100.0,3.2,2,7,9,43.75,0,0,True,0
open_comparator,2024-02,19,17,17,9,8,52.94117647058823,7.190493305747059,-4.739175594706557,0.432263560129389,-2.963706992230852,5,5,5,0,100.0,3.4,2,4,13,23.529411764705884,0,0,True,0
open_comparator,2024-03,20,18,18,10,8,55.55555555555556,2.7633595652452936,-7.498502488516568,0.18419770403280092,-4.466666666666663,4,4,4,0,100.0,4.5,4,4,14,22.22222222222222,0,0,True,0
open_comparator,2024-04,21,17,17,8,9,47.05882352941177,7.41958767569193,-4.98377062040799,0.44187753861815726,-2.0021276595744704,5,5,5,0,100.0,3.4,2,3,14,17.647058823529413,0,0,True,0
open_comparator,2024-05,20,15,15,3,12,20.0,-14.34224563397757,-14.746633284944565,-1.0219962620483662,-3.050809061488668,5,5,5,0,100.0,3.0,2,4,11,26.666666666666668,0,0,True,0
open_comparator,2024-06,19,17,17,3,14,17.647058823529413,-12.431032645786622,-12.431032645786622,-0.7732739045224813,-3.425,4,4,4,0,100.0,4.25,4,5,12,29.41176470588235,0,0,True,0
open_comparator,2024-07,23,22,22,11,11,50.0,-0.9030668497666761,-5.648393813640073,-0.033725873062162876,-2.877937649880091,5,5,5,0,100.0,4.4,3,3,19,13.636363636363637,0,0,True,0
open_comparator,2024-08,21,20,20,9,11,45.0,1.3977169462429107,-4.522179289829986,0.07937900296444897,-3.655032548823233,5,5,4,1,80.0,4.0,1,4,16,20.0,0,0,True,0
open_comparator,2024-09,18,14,14,4,10,28.571428571428573,-4.8782769701697815,-7.635454176748279,-0.3471993673166946,-2.1087855297157616,5,4,4,0,100.0,2.8,2,2,12,14.285714285714286,0,0,True,0
open_comparator,2024-10,20,15,15,3,12,20.0,-12.480704387138019,-12.968956037217072,-0.8775885354851496,-2.631442974165088,5,5,5,0,100.0,3.0,2,4,11,26.666666666666668,0,0,True,0
open_comparator,2024-11,21,17,17,9,8,52.94117647058823,4.588386041800607,-10.851984136906445,0.3276727298474649,-7.558064516129037,5,4,4,0,100.0,3.4,4,1,16,5.882352941176471,0,0,True,0
open_comparator,2024-12,20,15,15,8,7,53.333333333333336,33.551139844947244,-3.5559301803330667,2.1857992311872603,-2.4013597033374574,5,4,4,0,100.0,3.0,2,2,13,13.333333333333334,0,0,True,0
open_comparator,2025-01,18,16,16,6,10,37.5,-1.6677433608646264,-4.924222790653554,-0.10071111937228042,-1.7844804318488559,5,4,4,0,100.0,3.2,2,2,14,12.5,0,0,True,0
open_comparator,2025-02,20,16,16,8,8,50.0,0.7674244788017814,-5.448500001650003,0.06173577001117406,-2.9347305389221585,4,4,4,0,100.0,4.0,3,1,15,6.25,0,0,True,0
open_comparator,2025-03,20,15,15,7,8,46.666666666666664,5.244063157692569,-6.979184749510781,0.3639966695184918,-1.9949152542372837,5,4,4,0,100.0,3.0,3,4,11,26.666666666666668,0,0,True,0
open_comparator,2025-04,22,17,17,8,9,47.05882352941177,9.846561249104479,-9.007326042963115,0.6177621867409943,-4.133333333333333,5,5,5,0,100.0,3.4,3,4,13,23.529411764705884,0,0,True,0
open_comparator,2025-05,19,16,16,10,6,62.5,7.199419907870741,-5.418777608781744,0.45467684114255835,-4.873484069886946,5,4,4,0,100.0,3.2,3,1,15,6.25,0,0,True,0
open_comparator,2025-06,19,16,16,11,5,68.75,39.41998857375337,-3.2414108412853304,2.1302809176580055,-3.2414108412853406,5,4,4,0,100.0,3.2,2,3,13,18.75,0,0,True,0
open_comparator,2025-07,23,20,20,7,13,35.0,-5.844995393572483,-6.133096682599504,-0.295280088991551,-2.3408163265306143,5,5,5,0,100.0,4.0,2,0,20,0.0,0,0,True,0
open_comparator,2025-08,20,17,17,5,12,29.41176470588235,-10.197420317015693,-10.197420317015693,-0.6217638062395506,-2.576176024279208,5,4,4,0,100.0,3.4,3,4,13,23.529411764705884,0,0,True,0
open_comparator,2025-09,22,20,20,11,9,55.0,9.356736020844902,-3.9985400663551385,0.46059686870995903,-1.5775842044134731,5,5,5,0,100.0,4.0,2,2,18,10.0,0,0,True,0
open_comparator,2025-10,18,17,17,9,8,52.94117647058823,2.342746603819146,-9.082127500150305,0.1770470763817901,-8.194736842105266,5,4,4,0,100.0,3.4,2,1,16,5.882352941176471,0,0,True,0
open_comparator,2025-11,20,15,15,10,5,66.66666666666667,-0.0706438763777073,-2.4132075471698156,0.0036261409962396423,-2.4132075471698156,4,4,4,0,100.0,3.75,3,4,11,26.666666666666668,0,0,True,0
open_comparator,2025-12,21,18,18,9,9,50.0,-3.823864104866481,-12.895145822602815,-0.17117941500479228,-9.65897435897436,5,5,5,0,100.0,3.6,2,3,15,16.666666666666668,0,0,True,0
open_comparator,2026-01,21,16,16,9,7,56.25,13.35054786284633,-7.93533052575941,0.8166425678425497,-3.367484662576692,5,4,4,0,100.0,3.2,2,3,13,18.75,0,0,True,0
open_comparator,2026-02,17,12,12,6,6,50.0,-2.753823978706904,-5.50103024514732,-0.2118042962979957,-3.969724770642202,4,4,4,0,100.0,3.0,2,3,9,25.0,0,0,True,0
open_comparator,2026-03,21,16,16,12,4,75.0,16.392514837097693,-10.91445663295303,1.0278517002132903,-6.256112852664574,5,5,5,0,100.0,3.2,2,6,10,37.5,0,0,True,0
open_comparator,2026-04,22,14,14,8,6,57.142857142857146,-6.371898920505714,-23.95747077265038,-0.25482720051583757,-19.51225382932167,5,5,4,1,80.0,2.8,1,6,8,42.857142857142854,0,0,True,0
